ردیف,زمان,سطح,بخش,رویداد,"شناسه مرتبط",پیام,جزئیات
3662,"1405-06-23 14:29:17",موفق,سفارش,order_sent,319849,"پیام کامل سفارش #319849 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3661,"1405-06-23 14:27:23",اطلاعات,سفارش,order_pending,319849,"سفارش #319849 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3660,"1405-06-23 14:26:54",اطلاعات,سفارش,order_pending,319848,"سفارش #319848 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3659,"1405-06-23 14:19:01",اطلاعات,سفارش,order_pending,319842,"سفارش #319842 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3658,"1405-06-23 14:06:14",اطلاعات,سفارش,order_pending,319819,"سفارش #319819 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3657,"1405-06-23 13:58:13",موفق,سفارش,order_sent,319802,"پیام کامل سفارش #319802 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3656,"1405-06-23 13:55:54",موفق,سفارش,order_sent,319803,"پیام کامل سفارش #319803 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3655,"1405-06-23 13:55:46",اطلاعات,سفارش,order_pending,319803,"سفارش #319803 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3654,"1405-06-23 13:55:23",اطلاعات,سفارش,order_pending,319802,"سفارش #319802 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3653,"1405-06-23 13:55:09",اطلاعات,موجودی,flush_nothing,0,"هیچ اعلان موجودی جدیدی ارسال نشد (همه تکراری بودند).","{""queue_count"":2}"
3652,"1405-06-23 13:55:09",هشدار,موجودی,duplicate_blocked,0,"2 اعلان موجودی تکراری تشخیص داده شد و ارسال نشد.","{""blocked"":{""319793"":""cooldown"",""319794"":""cooldown""},""blocked_count"":2}"
3651,"1405-06-23 13:55:09",موفق,موجودی,alert_sent,0,"2 اعلان موجودی ارسال شد.","{""product_ids"":[319793,319794],""chats"":[-1003853185157]}"
3650,"1405-06-23 13:55:08",اطلاعات,موجودی,flush_nothing,0,"هیچ اعلان موجودی جدیدی ارسال نشد (همه تکراری بودند).","{""queue_count"":2}"
3649,"1405-06-23 13:55:08",هشدار,موجودی,duplicate_blocked,0,"2 اعلان موجودی تکراری تشخیص داده شد و ارسال نشد.","{""blocked"":{""319793"":""already_out"",""319794"":""already_out""},""blocked_count"":2}"
